Date;Adj Close;
29.11.2016;78,60;
28.11.2016;78,78;
25.11.2016;80,40;
24.11.2016;80,43;
23.11.2016;80,16;
22.11.2016;80,50;
21.11.2016;80,14;
18.11.2016;80,15;
17.11.2016;81,11;
16.11.2016;80,93;
15.11.2016;81,35;
14.11.2016;81,60;
11.11.2016;80,93;
10.11.2016;81,50;
09.11.2016;79,85;
08.11.2016;79,35;
07.11.2016;78,40;
04.11.2016;77,35;
03.11.2016;76,62;
02.11.2016;77,92;
01.11.2016;78,75;
31.10.2016;80,28;
28.10.2016;80,20;
27.10.2016;80,00;
26.10.2016;79,75;
25.10.2016;80,45;
24.10.2016;79,99;
21.10.2016;79,52;
20.10.2016;79,35;
19.10.2016;78,80;
18.10.2016;78,98;
17.10.2016;78,00;
14.10.2016;78,85;
13.10.2016;77,76;
12.10.2016;78,20;
11.10.2016;78,25;
10.10.2016;78,31;
07.10.2016;78,05;
06.10.2016;78,43;
05.10.2016;78,25;
04.10.2016;76,75;
30.09.2016;75,80;
29.09.2016;73,60;
28.09.2016;73,24;
27.09.2016;72,54;
26.09.2016;72,64;
23.09.2016;73,47;
22.09.2016;73,88;
21.09.2016;71,69;
20.09.2016;71,02;
19.09.2016;70,65;
16.09.2016;70,62;
15.09.2016;71,64;
14.09.2016;71,20;
13.09.2016;71,30;
12.09.2016;71,60;
09.09.2016;72,27;
08.09.2016;73,90;
07.09.2016;74,36;
06.09.2016;73,39;
05.09.2016;73,50;
02.09.2016;72,98;
01.09.2016;72,70;
31.08.2016;72,70;
30.08.2016;73,26;
29.08.2016;72,20;
26.08.2016;71,98;
25.08.2016;72,28;
24.08.2016;72,79;
23.08.2016;72,50;
22.08.2016;71,76;
19.08.2016;71,96;
18.08.2016;72,70;
17.08.2016;72,61;
16.08.2016;72,50;
15.08.2016;73,11;
12.08.2016;72,68;
11.08.2016;72,61;
10.08.2016;72,30;
09.08.2016;71,70;
08.08.2016;70,13;
05.08.2016;69,40;
04.08.2016;69,18;
03.08.2016;69,04;
02.08.2016;68,89;
01.08.2016;70,31;
29.07.2016;69,83;
28.07.2016;70,75;
27.07.2016;70,11;
26.07.2016;71,60;
25.07.2016;71,67;
22.07.2016;71,51;
21.07.2016;71,79;
20.07.2016;71,75;
19.07.2016;71,10;
18.07.2016;71,59;
15.07.2016;71,70;
14.07.2016;71,22;
13.07.2016;69,09;
12.07.2016;69,10;
11.07.2016;68,68;
08.07.2016;67,20;
07.07.2016;65,94;
06.07.2016;66,30;
05.07.2016;67,30;
04.07.2016;69,00;
01.07.2016;69,30;
30.06.2016;69,25;
29.06.2016;67,63;
28.06.2016;66,07;
27.06.2016;65,15;
24.06.2016;66,70;
23.06.2016;71,80;
22.06.2016;70,35;
21.06.2016;69,89;
20.06.2016;69,50;
17.06.2016;67,50;
16.06.2016;68,35;
15.06.2016;68,05;
14.06.2016;66,56;
13.06.2016;66,78;
10.06.2016;67,60;
09.06.2016;69,21;
08.06.2016;70,20;
07.06.2016;70,74;
06.06.2016;68,80;
03.06.2016;68,50;
02.06.2016;69,68;
01.06.2016;69,45;
31.05.2016;69,49;
30.05.2016;69,97;
27.05.2016;69,60;
26.05.2016;69,57;
25.05.2016;69,60;
24.05.2016;69,00;
23.05.2016;67,17;
20.05.2016;67,03;
19.05.2016;66,52;
18.05.2016;67,47;
17.05.2016;67,52;
13.05.2016;67,56;
12.05.2016;67,22;
11.05.2016;68,22;
10.05.2016;69,35;
09.05.2016;68,68;
06.05.2016;68,54;
05.05.2016;68,13;
04.05.2016;67,00;
03.05.2016;68,19;
02.05.2016;69,85;
29.04.2016;72,28;
28.04.2016;72,38;
27.04.2016;72,05;
26.04.2016;71,30;
25.04.2016;70,41;
22.04.2016;70,99;
21.04.2016;71,02;
20.04.2016;71,18;
19.04.2016;70,00;
18.04.2016;68,49;
15.04.2016;67,88;
14.04.2016;68,25;
13.04.2016;66,94;
12.04.2016;64,99;
11.04.2016;64,55;
08.04.2016;63,18;
07.04.2016;62,00;
06.04.2016;62,96;
05.04.2016;63,29;
04.04.2016;65,00;
01.04.2016;65,20;
31.03.2016;66,70;
30.03.2016;66,95;
29.03.2016;66,00;
24.03.2016;66,40;
23.03.2016;67,22;
22.03.2016;67,12;
21.03.2016;67,15;
18.03.2016;66,10;
17.03.2016;65,20;
16.03.2016;65,45;
15.03.2016;65,10;
14.03.2016;65,83;
11.03.2016;64,55;
10.03.2016;62,08;
09.03.2016;64,47;
08.03.2016;63,74;
07.03.2016;63,78;
04.03.2016;63,50;
03.03.2016;63,20;
02.03.2016;62,40;
01.03.2016;62,28;
29.02.2016;60,30;
26.02.2016;61,15;
25.02.2016;59,51;
24.02.2016;58,65;
23.02.2016;60,19;
22.02.2016;61,57;
19.02.2016;60,20;
18.02.2016;60,20;
17.02.2016;60,10;
16.02.2016;58,80;
15.02.2016;59,13;
12.02.2016;57,85;
11.02.2016;57,30;
10.02.2016;58,20;
09.02.2016;57,41;
08.02.2016;57,86;
05.02.2016;59,70;
04.02.2016;59,40;
03.02.2016;58,85;
02.02.2016;58,80;
01.02.2016;60,50;
29.01.2016;61,85;
28.01.2016;61,02;
27.01.2016;61,11;
26.01.2016;61,99;
25.01.2016;62,00;
22.01.2016;63,30;
21.01.2016;61,71;
20.01.2016;60,28;
19.01.2016;60,86;
18.01.2016;60,99;
15.01.2016;61,44;
14.01.2016;64,69;
13.01.2016;63,99;
12.01.2016;64,48;
11.01.2016;63,57;
08.01.2016;64,01;
07.01.2016;64,07;
06.01.2016;66,10;
05.01.2016;67,53;
04.01.2016;68,16;
30.12.2015;70,69;
29.12.2015;71,45;
28.12.2015;70,59;
23.12.2015;71,03;
22.12.2015;69,13;
21.12.2015;69,41;
18.12.2015;70,09;
17.12.2015;71,39;
16.12.2015;70,37;
15.12.2015;70,25;
14.12.2015;68,82;
11.12.2015;69,14;
10.12.2015;70,75;
09.12.2015;70,25;
08.12.2015;71,33;
07.12.2015;72,64;
04.12.2015;73,38;
03.12.2015;72,35;
02.12.2015;76,00;
01.12.2015;76,57;
30.11.2015;78,20;
